,PublicRemarks,Bedrooms,Building_Type,Address,LeaseRent,Property_Type,OwnershipType,ParkingSpaceTotal
164,"Great Location,!! Center Of The Town. 5 Min To Lawrence W Subway Hway 401 Shops And Schools. 15 Min To York University And University Of Toronto By Subway. ..**** EXTRAS **** Refrigerator, Washer, Cook Top.All Windows And Lights. This Is Furnished Including Free Internet. (30442388)",1,House,"#MAIN F -68 CLAVER AVE|Toronto, Ontario M6B2W2","$1,495/Monthly",Single Family,Freehold,1
165,"Rental Apartment In An Excellent Location In Trinity Bellwoods. The Heart Of Little Italy. This Is A 2 Bedrooms Unit With A Full Bathroom. Walking Distance To Public Transits, School, Park, Community Shopping Centre, Restaurants And More. Perfect Living Space For Students Or Young Professionals No Smokers, No Pets,Street Parking.**** EXTRAS **** Site Improvements Include Concrete Paved Front/Rear Yard, Enclosed Rear Yard With Patio Area. Close To Park. (30426993)",2,House,"219 ROXTON RD|Toronto, Ontario M6J2Y4","$1,499/Monthly",Single Family,Freehold,
166,"Bright & Spacious 1 Bed, 1 Bath Walk-Out Basement Unit @ Kingston/Salem. Exclusive Backyard Usage. Includes Covered Patio - Perfect For Outdoor Living & Bbqing. Open Concept Living/Dining W/ Soft & Plush Broadloom. Features Fireplace For Decor (Non-Functional). Spacious Kitchen W/ Vinyl Flooring, Large Window & Wrap-Around Counter. Modern Bath W/ B/I Shelving, Stand-Up Shower & Medicine Cabinet. Painted & Professionally Cleaned. Move-In Ready!**** EXTRAS **** Great Location! Minutes To Parks, Coffee Shops, Walmart, Groceries, 401, 404. Includes: Fridge, Cooktop, Microwave Oven, Full-Sized Washer & Dryer, 1 Parking Space. (30363164)",1,House,"21 NOBLE DR|Ajax, Ontario L1Z1B8","$1,499/Monthly",Single Family,Freehold,
167,"Newly Renovated 2 Bedrooms Basement With Separate Entrance Situated Perfectly Within A Desirable Neighbourhood. Close To Restaurants, Supermarkets, Public Transit And Much More. Ready To Move In & Move In Anytime.**** EXTRAS **** Fridge, Stove, Washer, Dryer. Utilities Shared. Tenant Must Have Tenant Insurance Package Before Moving In. (30364768)",2,House,"#BSMT -175 STATHER  CRES|Markham, Ontario L3S2X2","$1,500/Monthly",Single Family,,1
168,"Beautiful 1Bedroom Basement Apartment With Spacious Big Living Room  In A Semi Detached Home In The Community Of Meadowvale Village. Very Close To Transit, High Rated Schools, Parks, Minutes To Hwy 401/407 /410 , Heartland Shopping, Family Sized Eat-In Kitchen.**** EXTRAS **** Fridge Stove Electrical Light Fixtures (30407319)",1,House,"#BASEMEN -313 OAKTREE CIRC|Mississauga, Ontario L5W1V4","$1,500/Monthly",Single Family,Freehold,
169,"Absolutely Clean, Spacious Finished Large Size Basement Apartment In Churchill Meadows Neighbourhood! New Laminate Floors Throughout, Large Living Space Area, Eat- In Kitchen Features Tile Floors & Backsplash! Separate Entrance Through Garage, Street Parking, No Pets, No Smoking. Shared On-Site Laundry. Tenant Pays 30% Of Utilities. $200 Refundable Key Deposit Required. One Of The Most Desirable Areas In Mississauga!**** EXTRAS **** Fridge, Stove, Shared On-Site Laundry. Conveniently Located Close To All Shopping, Highway 401 & 407, Transit, School, Parks And More! (30379570)",1,House,"#BSMT -3150 WORKMAN DR|Mississauga, Ontario L5M6K8","$1,500/Monthly",Single Family,Freehold,
170,"Completely Renovated ,New Modern Kitchen With Plenty Of Cabinets And Drawers New S/S Fridge, Stove And Exhaust Hood, New Flooring, Pot Lighting, Bathroom With Glass Shower, Large Bedroom With Double Closet. Features Direct Access To Shared Laundry Room, Approximate 7 Feet Tall Ceilings, All Inclusive Rent. Located On A Quiet Street Just South Of College St, Steps To Ymca At Dovercourt/College, Great Restaurants And Cafes, Walking Distance To Dufferin Mall, No Frills , Dufferin Grove And Trinity Bellwoods Park.**** EXTRAS **** S/S Fridge, Stove, Exhaust Hood, Widow Blinds. Access To Coin Op Washer/Dryer. (30455530)",1,House,"#BSMT B -52 HEYDON PARK RD|Toronto, Ontario M6J2C8","$1,500/Monthly",Single Family,Freehold,
171,"CORKTOWN Locale! Nicely renovated basement unit with separate entrance & parking. Nice kitchen w. Peninsula, S/S appliances +lots of cupboards, 3 piece bath with walk-in shower &  Living Room offers lots of custom built-ins * Spacious bdrm. lots of b/ins & double closet for extra storage space! Common laundry as well. Rent includes; laundry, heat, hydro, water & parking*Min.- 1 year lease, available Sept. 1/2022. A convenient locale steps to parks, transit routes, shops & cafes of downtown's International Village, trails and the downtown GO station. No smokers, no pets. (28828340)",0 + 1,Apartment,"#4- 119 Wellington Street S|Hamilton, Ontario L8N2R3","$1,500/Monthly",Single Family,Freehold,1
172,"1 Bedroom 1 Bath Basement Apartment In Sought After Neighbourhood! Very Clean And Bright Through-Out Property. Separate Entrance And Separate Laundry. Close To Schools, Transit, Shopping, Restaurants, Hwys, Etc. (30432465)",1,House,"#BSMT -9 FAIAL RD|Cambridge, Ontario N1R6Y1","$1,500/Monthly",Single Family,Freehold,1
173,"West Galt Apartment Available For Immediate Occupancy. 1 Bedroom, 1 Bath, Newly Renovated And Move In Ready.**** EXTRAS **** Inclusions: Fridge & Stove (30453270)",1,Fourplex,"#69 -69-71 CEDAR ST|Cambridge, Ontario N1S1V5","$1,500/Monthly",Single Family,,
174,"West Galt apartment available for immediate occupancy. 1 Bedroom, 1 Bath, newly renovated and move in ready. (65038570)",1 + 0,Apartment,"69-71 CEDAR Street Unit# 69|Cambridge, Ontario N1S1V5","$1,500/Monthly",Single Family,Freehold,
175,"Bright & Spotless One Bedroom + Living Room Legal Basement Apartment In Prime Location. Separate Laundry, No Parking, Located In The Coveted Pineridge Community Of South Guelph, Just Steps From Some Of The Areas Best Schools, Parks, And Walking Trails. This House Is Also Commuter Friendly As It Is 10 Minutes To The 401 Or Highway 7 And 5 Minutes To Highway 6. Sep.Entrance.**** EXTRAS **** Fridge, Washer & Dryer, Counter Top Burner & Convection Oven (30186501)",1,Other,"84 CLOUGH CRES|Guelph, Ontario N1L0E3","$1,500/Monthly",Single Family,,
176,"Amazing And Bright Unit !!!Suitable For A Student Or A Professional. Excellent Location From Wilfrid Laurier University, University Of Waterloo And Conestoga College. Bright Unit With High Ceilings, Modern Kitchen, En Suite Laundry. Furnished Dinning Table 2 Chair, Flat Screen Tv And Stand, Sofa, Bed And Mattress And Nigh-Table, Desk And Chair. Book Your Showing Today!**** EXTRAS **** S/S Appliances (Fridge, Stove) En-Suite Laundry; Front Loader Washer/Dryer, Furnished Dinning Table 2 Chair, Flat Screen Tv And Stand, Sofa, Bed And Mattress And Nigh-Table, Desk And Chair. (30446644)",1,Apartment,"#G116 -275 LARCH ST|Waterloo, Ontario N2L3R2","$1,500/Monthly",Single Family,Condominium/Strata,
177,"Nicely Finished 2Br Modern Apartment With Separate Entrance, Ensuite Laundry Rm, Ceramic Floors In Kitchen Bathroom & Hallway, Laminate In Living Room & Bedrooms. Looking For Aaa Tenant No Pets, Non Smoker. Super Location Near Bus, Schools, Access To 401. Please Provide Credit Report With Credit Score, Employment Letter With Last 2 Pay Stubs, Previous Landlord Reference, 1st & Last Month Deposit. 1 Parking Space Provided.**** EXTRAS **** Fridge, Stove, Washer, Dryer. Vacant Apartment Immediate Occupancy. Tenant Agrees To Pay 25% Of Utilities. (30336556)",2,House,"#BSMT -89 HOWLING CRES|Ajax, Ontario L1S7R9","$1,500/Monthly",Single Family,Freehold,
178,"Spacious 1 Bedroom Basement Apt. W/ Sep. Entrance & Sep. And Private Laundry On A Quiet Court ** This is a linked property.** **** EXTRAS **** All Inclusive, Heat, Water, Hydro, Internet & Cable & Own Laundry, All Electrical Light Fixtures, (30339326)",1,House,"1511 TERRACOTTA CRT|Pickering, Ontario L1X2M8","$1,500/Monthly",Single Family,Freehold,1
179,"Newly Renovated 1-Bed Suite On The Lower Level. Never Been Lived In, Be The First To Call This Home, A Large Bedroom With Brand New Appliances. Situated In A Quiet And Friendly Subdivision. Close To Schools, Parks, Community Center, Library, Transit, Go Train, Big Box Stores, Restaurants, And Cafes. Perfect Space For A Single Professional. No Smoking (Tobacco, Cannabis, Or Vaping)  And No Pets (Allergies).**** EXTRAS **** Utilities Included. Wifi For The Year. Shared Laundry (Twice A Week Use.) One Parking Spot On The East Side Of The Driveway.  Use Of Outdoor Area By The Side Of The Separate Entrance. Can Fit A Small Table And Chairs. (30329384)",1,House,"22 CORKWOOD CRES|Vaughan, Ontario L6A3B9","$1,500/Monthly",Single Family,Freehold,
180,"*2 Bedroom *Close To Subway *Ensuite Laundry * Walk Score 86, Bike Score 96, Transit Score 99**** EXTRAS **** *Gas, Water & Hydro Included *Laundry Ensuite (30295037)",2,Row / Townhouse,"#BSMT -236 STERLING RD|Toronto, Ontario M6R2B9","$1,500/Monthly",Single Family,Freehold,
181,"One Large, Bright Bedroom Apartment With Huge Combined Living/Dining Room/Kitchen, Open Concept W/Above Grade Windows & Separate Entrance. Family Friendly Quiet Area. Close To 401,404,Ttc,Shopping & Schools. Great Landlord.**** EXTRAS **** Fridge,Stove,Shared Washer/Dryer. (30270709)",1,House,"76 EXFORD DR|Toronto, Ontario M1P1M3","$1,500/Monthly",Single Family,Freehold,
182,"Beautiful Bright Basement Apartment With Separate Entrance In Desirable Sonoma Heights. Very Spacious And Well Maintained. Separate Kitchen And Laundry**** EXTRAS **** Fridge, Stove, Washer And Dryer, Tenant Pays 30% Utilities (Only One Person Upstairs). Parking On Drive Way. Credit Check, References, Credit Report Is A Must.Aaa Clients Only. Cantina Is Excluded From The Lease For Owners Use Only (30269443)",1,House,"#BSMT -12 FONTESELVA AVE|Vaughan, Ontario L4H2R9","$1,500/Monthly",Single Family,Freehold,1
183,"Welcome Home! Specious Basement In Great Neighbourhood With Complete Seperate Entrance.Kitchen Perfect For Entertaining, Modern Bathroom,Excellent Use Of Space & Storage.Family Friendly Area, Walkable To Coffee Shops, Grocery Store, Restaurants, Renovations Throughout The Basement Kitchen Features Quartz. Pot Lights All Around.Excellent Ajax Location. Close To Schools, Parks, Transit, Restaurants, Lake Ontario And 6Mins To 401!**** EXTRAS **** All Appliances And Elf's. All Utilities Are Included Including Wifi! (30321420)",1,House,"2 ROLLO DR|Ajax, Ontario L1S7E7","$1,500/Monthly",Single Family,Freehold,
184,"Spectacular 1 Bedroom Apartment With Almost 8Ft Ceilings, High Gloss Kitchen With Quartz Counters And Stainless Steel Appliances. Open Concept Living That Doesn't Feel Like A Basement. In-Suite Laundry. Available August 1st, 2022**** EXTRAS **** Tenant To Pay 50% Of Utilities. (30302133)",1,House,"#BSMT -19 NORTH WOODROW BLVD|Toronto, Ontario M1K1W2","$1,500/Monthly",Single Family,Freehold,
185,"Beautiful Basement With 2 Good-Sized Bedrooms Located In A Prime Location; Carpet Free Home; Very Close To Bus Transit, Hwy 410, Schools, Plaza & Much More. Located In A Desirable Neighborhood Close To Schools, Public Transit, Grocery's And Much More. Tenants To Pay 40% Of All Utilities. 1 Parking Spots On Right Side Of The Driveway. Responsible For Snow Removal.**** EXTRAS **** Fridge, Electric Stove, Hood Fan, Washer & Dryer And All Electrical Light Fixtures. (30306667)",2,House,"#BSMT -11 GARFIELD CRES|Brampton, Ontario L6V1V7","$1,500/Monthly",Single Family,Freehold,
186,"** Great Location **. Large 1 Bedroom Unit + Full Bath, Huge Balcony, Great View, Close To Subway, Walk To Library, Schools, Shopping, Ttc, Churches, Taylor Park And More! All Utilities Included!! Just Pay For Cable (Special Building Rate) + Internet. Parking Is Only $50/Month Per Car!**** EXTRAS **** Fridge, Stove, Coin Laundry, All Electric Light Fixtures, All Utilities (-Cable,-Internet), Huge Balcony, Parquet Floors Th'out, Great Location! (29566502)",1,Apartment,"#715 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,500/Monthly",Single Family,Condominium/Strata,
187,"** Great Location **. Large 1 Bedroom Unit + Full Bath, Huge Balcony, Great View, Close To Subway, Walk To Library, Schools, Shopping, Ttc, Churches, Taylor Park And More! All Utilities Included!! Just Pay For Cable (Special Building Rate) + Internet. Parking Is Only $50/Month Per Car!**** EXTRAS **** Fridge, Stove, Coin Laundry, All Electric Light Fixtures, All Utilities (-Cable,-Internet), Huge Balcony, Parquet Floors Th'out, Great Location! (29566514)",1,Apartment,"#804 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,500/Monthly",Single Family,Condominium/Strata,
188,"** Great Location **. Large 1 Bedroom Unit + Full Bath, Huge Balcony, Great View, Close To Subway, Walk To Library, Schools, Shopping, Ttc, Churches, Taylor Park And More! All Utilities Included!! Just Pay For Cable (Special Building Rate) + Internet. Parking Is Only $50/Month Per Car!**** EXTRAS **** Fridge, Stove, Coin Laundry, All Electric Light Fixtures, All Utilities (-Cable,-Internet), Huge Balcony, Parquet Floors Th'out, Great Location! (29566527)",1,Apartment,"#809 -500 DAWES RD S|Toronto, Ontario M4B2G1","$1,500/Monthly",Single Family,Condominium/Strata,
189,"** Great Location **. Large 1 Bedroom Unit + Full Bath, Huge Balcony, Great View, Close To Subway, Walk To Library, Schools, Shopping, Ttc, Churches, Taylor Park And More! All Utilities Included!! Just Pay For Cable (Special Building Rate) + Internet. Parking Is Only $50/Month Per Car!**** EXTRAS **** Fridge, Stove, Coin Laundry, All Electric Light Fixtures, All Utilities (-Cable,-Internet), Huge Balcony, Parquet Floors Th'out, Great Location! (29566536)",1,Apartment,"#811 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,500/Monthly",Single Family,Condominium/Strata,
190,"** Great Location **. Large 1 Bedroom Unit + Full Bath, Huge Balcony, Great View, Close To Subway, Walk To Library, Schools, Shopping, Ttc, Churches, Taylor Park And More! All Utilities Included!! Just Pay For Cable (Special Building Rate) + Internet. Parking Is Only $50/Month Per Car!**** EXTRAS **** Fridge, Stove, Coin Laundry, All Electric Light Fixtures, All Utilities (-Cable,-Internet), Huge Balcony, Parquet Floors Th'out, Great Location! (29566540)",1,Apartment,"#1509 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,500/Monthly",Single Family,Condominium/Strata,
191,"*** No Parking Spot Provided, No Street Parking Permit, Student Is Welcome *** All Inclusive: Landlord Pays Gas, Water, Hydro, Internet, Snow & Grass *** Separate Walk-Up Entrance From Back *** Newly Top Quality Reno, 1 Bedroom, 1 Washroom  Bsmt Apt. * Your Own Kitchen, All Newer Appliances, Just Share Use Of Laundry With Another Bsmt Tenant, The Whole Unit Itself Is Separated ** Absolutely No Pets & No Smoking ****** EXTRAS **** This Unit Is For Bsmt A *** S/S Fridge, Stove, Rangehood. Shared Washer & Dryer With Another Bsmt Tenant, Looking For Aaaaa Tenant, Credit Report, Employment Letter, Rent App. Walk To Bathurst, Very Close To 401. (29825956)",1,House,"#BSMT A -128 BANNOCKBURN AVE|Toronto, Ontario M5M2N3","$1,500/Monthly",Single Family,Freehold,
192,"Seperate Entrance Lower Level, Good Location Close To Ttc, Supermarket, Seneca College, Ay Jackson School Zone. .Utility (Gas, Electricity, Water) Split 40% Of All Bills**** EXTRAS **** Existing Kitchen Appliances, Washer & Dryer Is Shared With Upper Level (30431339)",1,House,"#LOWER -9 WILLESDEN RD|Toronto, Ontario M2H1V7","$1,500/Monthly",Single Family,Freehold,3
193,"Welcome To This Tastefully Renovated Basement Unit In A Desirable Midtown Neighbourhood. Walking Distance To Shops & Restaurants, Home Depot, Ttc. Separate Entrance, Laminate Floor, Pot Lights. Perfect For Quiet Working Professional Or Student. Absolutely No Use Of Backyard, No Visitors, No Smoking & No Pets**** EXTRAS **** S/S Fridge, Stove, Washer & Dryer, Hood Fan, All Elfs. Street Parking Available By Permit. All Utilities & Internet Included. (30420408)",1,House,"#BSMT -583 OLD WESTON RD|Toronto, Ontario M6N3B2","$1,500/Monthly",Single Family,Freehold,
194,"Stunning Studio Basement Is For Rent.Fantastic Location! Close To All Amenities.Clos To Public Transport.Walking Distance To Yonge St.Great Neighborhood.Tenant Resposible For 1/3 Utilites.**** EXTRAS **** Fridge,Stove, Washer, Dryer. (30435511)",0,House,"#BSMT -117 PATRICIA AVE|Toronto, Ontario M2M1J3","$1,500/Monthly",Single Family,Freehold,
195,"** Great Location **. Large 1 Bedroom Unit + Full Bath, Huge Balcony, Great View, Close To Subway, Walk To Library, Schools, Shopping, Ttc, Churches, Taylor Park And More! All Utilities Included!! Just Pay For Cable (Special Building Rate) + Internet. Parking Is Only $50/Month Per Car!**** EXTRAS **** Fridge, Stove, Coin Laundry, All Electric Light Fixtures, All Utilities (-Cable,-Internet), Huge Balcony, Parquet Floors Th'out, Great Location! (29566502)",1,Apartment,"#715 -500 DAWES RD|Toronto, Ontario M4B2G1","$1,500/Monthly",Single Family,Condominium/Strata,
196,"Lease Freshly Renovated 2 Bedrooms Basement  . Upgraded Modern Kitchen With Appliances & Backsplash. Laminate Floors Throughout. Tenant Pays 40% Of Utilities. Close To All Amenities! Schools! Shopping! Transit! Parks.**** EXTRAS **** Fridge, Stove. Washer & Dryer (30372478)",2,House,"286 CENTRAL PARK (BSMT) BLVD S|Oshawa, Ontario L1H5X1","$1,500/Monthly",Single Family,Freehold,1
197,"Beautifully Renovated 2 Bedroom Basement Apartment W/Sep Entrance, New Laminate Floors In Basement And Ensuite Laundry For Rent In Prestigious Aurora Heights, 1 Driveway Parking Space.**** EXTRAS **** Existing Appliances (30292790)",2,House,"#BSMT -17 KITIMAT CRES|Aurora, Ontario L4G3C2","$1,500/Monthly",Single Family,Freehold,
198,"Beautiful Bright Basement Apartment With Separate Entrance In Desirable Sonoma Heights. Very Spacious And Well Maintained. Separate Kitchen And Laundry**** EXTRAS **** Fridge, Stove, Washer And Dryer, Tenant Pays 30% Utilities (Only One Person Upstairs). Parking On Drive Way. Credit Check, References, Credit Report Is A Must.Aaa Clients Only. Cantina Is Excluded From The Lease For Owners Use Only (30269443)",1,House,"#BSMT -12 FONTESELVA AVE|Vaughan, Ontario L4H2R9","$1,500/Monthly",Single Family,Freehold,1
199,"Semi-Furnished Basement Apartment With Independent Laundry And Separate Entrance, Murphy Bed In Place Ready To Move In. (30383346)",0,House,"#BASEMEN -207 LISA CRES|Vaughan, Ontario L4J2N2","$1,500/Monthly",Single Family,Freehold,
200,"Newly Renovated 1-Bed Suite On The Lower Level. Never Been Lived In, Be The First To Call This Home, A Large Bedroom With Brand New Appliances. Situated In A Quiet And Friendly Subdivision. Close To Schools, Parks, Community Center, Library, Transit, Go Train, Big Box Stores, Restaurants, And Cafes. Perfect Space For A Single Professional. No Smoking (Tobacco, Cannabis, Or Vaping)  And No Pets (Allergies).**** EXTRAS **** Utilities Included. Wifi For The Year. Shared Laundry (Twice A Week Use.) One Parking Spot On The East Side Of The Driveway.  Use Of Outdoor Area By The Side Of The Separate Entrance. Can Fit A Small Table And Chairs. (30329384)",1,House,"22 CORKWOOD CRES|Vaughan, Ontario L6A3B9","$1,500/Monthly",Single Family,Freehold,
201,"Quiet, Safe And Convenient Community. Separate Entrance. Clean & Spacious One Bedroom.  Separate Kitchen And Washroom. Move In Condition. Close To Top Ranked Schools, Parks, Shops. One Driveway Parking Available. *Washer & Dryer For Tenant's Private Use.**** EXTRAS **** Fridge, Stove, Microwave, Washer & Dryer, All Electric Light Fixtures. Tenant To Share 1/3 All Utilities. (30351778)",1,Other,"#BSMENT -32 LUBA AVE|Richmond Hill, Ontario L4S1G5","$1,500/Monthly",Single Family,,
202,"Amazing And Bright Unit !!!Suitable For A Student Or A Professional. Excellent Location From Wilfrid Laurier University, University Of Waterloo And Conestoga College. Bright Unit With High Ceilings, Modern Kitchen, En Suite Laundry. Furnished Dinning Table 2 Chair, Flat Screen Tv And Stand, Sofa, Bed And Mattress And Nigh-Table, Desk And Chair. Book Your Showing Today!**** EXTRAS **** S/S Appliances (Fridge, Stove) En-Suite Laundry; Front Loader Washer/Dryer, Furnished Dinning Table 2 Chair, Flat Screen Tv And Stand, Sofa, Bed And Mattress And Nigh-Table, Desk And Chair. (30446644)",1,Apartment,"#G116 -275 LARCH ST|Waterloo, Ontario N2L3R2","$1,500/Monthly",Single Family,Condominium/Strata,
203,"All Inclusive Basement Apartment With Separate Entrance, Newly Renovated. In- Suite Laundry. 1 Parking Space Available. Look No Further You Will Not Come Across A Price Like This With All Included In Rent! Located Less Then 30 Minutes From Barrie & Bradford ! Don't Miss Out! Schedule Private Showing.**** EXTRAS **** Fridge, Stove Top, Microwave, Washer + Dryer Included. Utilities Included, Tenant Responsible For Their Own Cable/Internet. (30385654)",1,Other,"174 WAGNER CRES|Essa, Ontario L0M1B6","$1,500/Monthly",Single Family,,1
204,"A Legal One Bedroom Brand-New Basement Apt With Brand New Appliances In The Amberlea Neighbourhood! Clean & Bright! Separate Entry! Laminate & Tiled Floors Thur-Out! Ensuite Laundry! One Designated Parking Space In The Driveway! Conveniently Located To Everything! Nearby Elementary & Secondary Public & Catholics Schools. Minutes North Of 401! Close To Plaza With 24Hr Metro, Td Bank, Rexall Drug Store & Other Specialty Shops!**** EXTRAS **** Fridge, Stove,  Washer & Dryer.  Tenant Pays 40% Of All Utilities. Tenant Responsible For The Snow Removal Of Their Parking Space. Prefer Single Or Couple, No Pets, No Smoking On Property. Tenant To Obtain Tenant Liability Insurance. (30218527)",1,Other,"1909 WILDFLOWER DR|Pickering, Ontario L1V7A7","$1,500/Monthly",Single Family,,
205,"Bright And Spacious Basement Apartment In Richmond Hill Prime Doncrest Area. Very Quiet Area. Well Maintained And Separate Entrance Thru Main Door. One Bedroom & Large Living And Dinning Space.  Kitchen And Bathroom. And One Parking Spot On Driveway.**** EXTRAS **** Washer, Dryer (As Is), Stove & Fridge. (30214026)",1,,"#13 -50 RUBIN ST|Richmond Hill, Ontario L4B3L5","$1,500/Monthly",Single Family,Condominium/Strata,1
206,"1 Bedroom Basement With Large Living Room. Walking Distance To All Amenities Located In Scarborough Village Neighbourhood! Metro, Dollarama, Tim Hortons, Medical Centers, Etc. Large Bed Room, Living Room, And Kitchen.**** EXTRAS **** All Existing Appliances: Fridge, Stove, Washer, And Dryer. Tenant Pays 40% Of Heat, Hydro, And Water. (30230387)",1,House,"#LOWER -77 BRINLOOR BLVD|Toronto, Ontario M1M1L4","$1,500/Monthly",Single Family,Freehold,
207,"Completely Renovated ,New Modern Kitchen With Plenty Of Cabinets And Drawers New S/S Fridge, Stove And Exhaust Hood, New Flooring, Pot Lighting, Bathroom With Glass Shower, Large Bedroom With Double Closet. Features Direct Access To Shared Laundry Room, Approximate 7 Feet Tall Ceilings, All Inclusive Rent. Located On A Quiet Street Just South Of College St, Steps To Ymca At Dovercourt/College, Great Restaurants And Cafes, Walking Distance To Dufferin Mall, No Frills , Dufferin Grove And Trinity Bellwoods Park.**** EXTRAS **** S/S Fridge, Stove, Exhaust Hood, Widow Blinds. Access To Coin Op Washer/Dryer. (30455530)",1,House,"#BSMT B -52 HEYDON PARK RD|Toronto, Ontario M6J2C8","$1,500/Monthly",Single Family,Freehold,
208,"Great Location And Perfect For A Young Professional Or Couple Who Wants To Live In The Heart Of The City Of Toronto. Less Than 5 Min Walk To Subway And Shops On Bloor. Great Walkability And Easy To Get To Parks, Schools Grocery Stores And Restaurants. Fully Renovated Lower Level Apartment With A Separate Entrance And Emergency Exits. This Unit Has High Ceilings, Stainless Steel Top Of The Line Appliances, Spacious Primary Bedroom And A Lot Of Closet Space.**** EXTRAS **** Utilities Included (Heat, Hydro, Water And Central Air Conditioning). S.S Fridge, Stove And Mounted Microwave. Very Friendly Neighbourhood With An Accommodating Landlord. (30454398)",1,Other,"#BSMT -265 LAPPIN AVE|Toronto, Ontario M6H1Y9","$1,500/Monthly",Single Family,,
209,"Basement Apartment Only. Separate Entrance To Basement Through Garage.  Spacious 2 Bedrooms, Kitchen,  Living Room And One Bathroom. Basement Tenant Pays 30% Of All Utilities-Hydro, Gas, Water. No Backyard Access. Laundry Is Shared.**** EXTRAS **** Key Deposit $500, Refundable Upon Vacating The Property. (30424853)",2,House,"5292 LONGHOUSE BASEMENT CRES|Mississauga, Ontario L5R3S4","$1,500/Monthly",Single Family,,2
210,"Beautifully Renovated Bachelor Suite On Raised Lower Level. Spacious, Open Concept Floorplan Boasts New Laminate Flooring & Quality Finishes Throughout. Upgraded Kitchen W/ Stone Counter & Large Island Which Doubles As Dining Table. Modern 4 Pc. Bathroom. Centrally Located, Just South Of Cabbagetown. Steps From Shops, Restaurants & Entertainment, Ryerson University, George Brown (St. James Campus), Uoft & Ttc.**** EXTRAS **** Stainless Steel Kitchen Appliances. Roller Blinds Inc. Window A/C Unit Provided. Pay Per Use Laundry On Site. Tenant To Pay Hydro. Landlord Will Professionally Clean Before Possession. (30424271)",0,House,"#106 -256 SHERBOURNE ST|Toronto, Ontario M5A2S1","$1,500/Monthly",Single Family,Freehold,
211,"Beautiful 1Bedroom Basement Apartment With Spacious Big Living Room  In A Semi Detached Home In The Community Of Meadowvale Village. Very Close To Transit, High Rated Schools, Parks, Minutes To Hwy 401/407 /410 , Heartland Shopping, Family Sized Eat-In Kitchen.**** EXTRAS **** Fridge Stove Electrical Light Fixtures (30407319)",1,House,"#BASEMEN -313 OAKTREE CIRC|Mississauga, Ontario L5W1V4","$1,500/Monthly",Single Family,Freehold,
212,"*2 Bedroom *Close To Subway *Ensuite Laundry * Walk Score 86, Bike Score 96, Transit Score 99**** EXTRAS **** *Gas, Water & Hydro Included *Laundry Ensuite (30295037)",2,Row / Townhouse,"#BSMT -236 STERLING RD|Toronto, Ontario M6R2B9","$1,500/Monthly",Single Family,Freehold,
213,"1 Bedroom basement apartment available for rent in south end of Guelph. Walking distance to major amenities, 10mins to the 401, 10 mins to the university of Guelph. Call now to book your private viewing. (65044726)",0 + 1,House,"175 CLAIR Road Unit# B|Guelph, Ontario N1L0A7","$1,500/Monthly",Single Family,Freehold,1
214,"Amazing And Bright Unit !!!Suitable For A Student Or A Professional. Excellent Location From Wilfrid Laurier University, University Of Waterloo And Conestoga College. Bright Unit With High Ceilings, Modern Kitchen, En Suite Laundry. Furnished Dinning Table 2 Chair, Flat Screen Tv And Stand, Sofa, Bed And Mattress And Nigh-Table, Desk And Chair. Book Your Showing Today!**** EXTRAS **** S/S Appliances (Fridge, Stove) En-Suite Laundry; Front Loader Washer/Dryer, Furnished Dinning Table 2 Chair, Flat Screen Tv And Stand, Sofa, Bed And Mattress And Nigh-Table, Desk And Chair. (30446644)",1,Apartment,"#G116 -275 LARCH ST|Waterloo, Ontario N2L3R2","$1,500/Monthly",Single Family,Condominium/Strata,
215,"CORKTOWN Locale! Nicely renovated basement unit with separate entrance & parking. Nice kitchen w. Peninsula, S/S appliances +lots of cupboards, 3 piece bath with walk-in shower &  Living Room offers lots of custom built-ins * Spacious bdrm. lots of b/ins & double closet for extra storage space! Common laundry as well. Rent includes; laundry, heat, hydro, water & parking*Min.- 1 year lease, available Sept. 1/2022. A convenient locale steps to parks, transit routes, shops & cafes of downtown's International Village, trails and the downtown GO station. No smokers, no pets. (28828340)",0 + 1,Apartment,"#4- 119 Wellington Street S|Hamilton, Ontario L8N2R3","$1,500/Monthly",Single Family,Freehold,1
216,"*2 Bedroom *Close To Subway *Ensuite Laundry * Walk Score 86, Bike Score 96, Transit Score 99**** EXTRAS **** *Gas, Water & Hydro Included *Laundry Ensuite (30295037)",2,Row / Townhouse,"#BSMT -236 STERLING RD|Toronto, Ontario M6R2B9","$1,500/Monthly",Single Family,Freehold,
217,"1 Bedroom basement apartment available for rent in south end of Guelph. Walking distance to major amenities, 10mins to the 401, 10 mins to the university of Guelph. Call now to book your private viewing. (65044726)",0 + 1,House,"175 CLAIR Road Unit# B|Guelph, Ontario N1L0A7","$1,500/Monthly",Single Family,Freehold,1
