"12 FLERIMAC RD|TORONTO, ONTARIO M1E4A9",0
"2 HALLIDAY ST|AJAX, ONTARIO L1Z0N5",386
"544 GILLMOSS  RD|PICKERING, ONTARIO L1W3J4",387
"31 CLARION CRES|MARKHAM, ONTARIO L3S3M4",388
"20 WOODCROFT CRES|TORONTO, ONTARIO M6E1W8",389
"192  CANYON HILL  AVE|RICHMOND HILL, ONTARIO L4C0R3",390
"285 TERRA RD|VAUGHAN, ONTARIO L4L3J4",391
"36 RAVENWOOD  DR|BRAMPTON, ONTARIO L6Y3Y7",392
"21 ADANAC DR|WHITBY, ONTARIO L1N2K6",393
"305 BEECH ST W|WHITBY, ONTARIO L1N3B3",395
"311 80 KING WILLIAM STREET|HAMILTON, ONTARIO L8R0A1",396
"68 HIGHLAND RD|KITCHENER, ONTARIO N2M3B5",397
"35 VICMOUNT DRIVE|KITCHENER, ONTARIO N2M2A2",398
"63 WHEATFIELD  CRES|KITCHENER, ONTARIO N2P1P7",399
"2632  LUNDENE RD|MISSISSAUGA, ONTARIO L5J1P8",400
"321 CARRIAGE WAY N UNIT B|WATERLOO, ONTARIO N2K1S5",401
